,Date,RF,MaxT,MinT,RH-I,RH-II,C1,C2,SS,WD1,WD2,Disease,Index,,,,,
218,05-08-01,62,28.5,22.5,94.9634,87.5452,8,8,0,135,270,3,218,,,,,
0,01-10-08,44.66718746,30.92932143,18.38140774,95.1604448,91.13063123,4.935487425,5.52439257,0.391619762,197.6953921,169.8164086,3,3711,,,,,
0,01-10-08,52.01185086,30.98438639,24.09256876,96.88408442,93.91809289,4.120022701,5.800263373,4.600468078,90.44135555,151.6382168,3,3700,,,,,
0,01-10-08,43.2815729,30.76395721,18.19488808,98.88153576,83.62984683,2.803608165,3.284279789,4.128789956,67.40615389,327.9703197,3,3699,,,,,
0,01-10-08,49.97264008,28.62671659,18.10672692,94.36143208,89.03038094,5.311848466,4.11730589,4.158901281,164.8554781,264.4917149,3,3698,,,,,
0,01-10-08,56.7034934,31.1732269,20.92824965,97.10027989,92.64660724,5.162388892,2.875166026,1.538032945,102.7619875,189.5854898,3,3697,,,,,
0,01-10-08,43.72184448,30.17725551,22.5887749,93.85025044,91.25695919,3.262959086,2.28696714,3.415055319,102.0420565,201.7211222,3,3696,,,,,
0,01-10-08,8.1229468,28.94913298,21.8435568,94.65657639,92.38209214,6.058530398,6.217464201,1.288271821,134.8359714,155.2840683,3,3695,,,,,
0,01-10-08,18.99297016,30.39581798,22.82399919,94.75600256,89.39102167,5.841575694,4.356904219,2.357837897,411.2018091,216.1704964,3,3694,,,,,
0,01-10-08,11.48011947,29.13427968,20.69780549,94.8130565,87.13721419,6.756002102,3.531602868,3.226083207,102.3197915,290.1263919,3,3709,,,,,
0,01-10-08,59.71731094,28.82593753,19.27293554,99.16955537,91.67163101,4.666793225,5.357803133,1.027552795,35.24396556,118.2378943,3,3710,,,,,
0,01-10-08,32.10062336,28.378088,21.32037039,94.68224291,95.82877437,3.006667259,4.490026232,0.249324768,101.0458801,152.5687508,3,3712,,,,,
0,01-10-08,64.74881963,30.02163555,21.54641128,94.06519071,90.09723568,3.587672534,5.53514298,1.909675302,482.9180611,334.1079875,3,3718,,,,,
0,01-10-08,93.38907147,29.31051932,22.70089107,94.97591134,91.33733875,3.93877368,5.534497792,6.870436598,128.8299257,261.7770332,3,3728,,,,,
0,01-10-08,34.03874811,30.90315842,22.83169484,98.6736889,91.07624559,4.730361621,2.783849468,1.434745897,266.730044,226.726244,3,3727,,,,,
0,01-10-08,19.84588641,28.60117041,23.75016797,90.92019244,89.00644886,7.937290418,4.655504321,2.979229285,118.7062992,290.2908238,3,3726,,,,,
0,01-10-08,76.96523418,30.09827404,20.74127153,96.77419054,82.02585488,6.766151926,2.25675087,1.628793302,247.3407309,258.01637,3,3725,,,,,
0,01-10-08,55.26177716,29.41102423,21.02375391,97.07448717,79.85448353,4.229380167,2.338829685,3.684241477,410.5033536,210.3559861,3,3724,,,,,
0,01-10-08,31.77152005,28.30687919,21.76857218,91.84998016,97.35977251,4.009204662,7.026785352,2.121744305,267.431648,171.6463275,3,3723,,,,,
0,01-10-08,15.08602653,30.67987466,22.58696159,90.57423295,91.96719922,2.269520643,5.558213626,6.81020019,126.1568515,205.0775987,3,3722,,,,,
