,Date,RF,MaxT,MinT,RH-I,RH-II,C1,C2,SS,WD1,WD2,Disease,Index
218,05-08-01,62.0,28.5,22.5,94.9634,87.5452,8.0,8.0,0.0,135.0,270.0,3,218
0,01-10-08,7.5,27.0,21.0,89.0,79.0,3.0,2.0,6.0,35.0,25.0,3,3368
0,01-10-08,61.4,30.0,23.0,100.0,93.0,8.0,8.0,0.0,45.0,250.0,3,3361
0,01-10-08,69.0,29.0,24.0,100.0,97.0,8.0,4.0,0.0,225.0,180.0,3,3362
0,01-10-08,44.0,32.0,23.0,100.0,97.0,8.0,5.0,0.0,135.0,210.0,3,3363
0,01-10-08,6.6,31.0,23.0,98.0,95.0,4.0,4.0,1.5,45.0,220.0,3,3364
0,01-10-08,40.0,32.0,21.0,100.0,93.0,8.0,5.0,0.0,225.0,210.0,3,3365
0,01-10-08,22.5,30.0,20.0,99.0,95.0,6.0,5.0,1.9,20.0,220.0,3,3366
0,01-10-08,14.1,29.0,22.5,94.0,95.0,8.0,7.0,4.2,220.0,230.0,3,3367
0,01-10-08,25.0,28.6,21.0,98.0,94.0,8.0,8.0,0.1,250.0,310.0,3,3369
0,01-10-08,18.5,27.0,21.0,91.0,82.0,5.0,2.0,6.0,35.0,25.0,3,3359
0,01-10-08,11.8,29.0,23.0,92.0,81.0,4.0,2.0,0.0,40.0,40.0,3,3370
0,01-10-08,10.3,25.5,22.8,92.0,84.0,4.0,5.0,5.2,50.0,25.0,3,3371
0,01-10-08,36.7,26.0,21.0,94.0,83.0,5.0,2.0,0.0,55.0,35.0,3,3372
0,01-10-08,70.5,27.0,22.0,90.0,81.0,6.0,2.0,0.0,40.0,40.0,3,3373
0,01-10-08,30.8,28.2,22.0,92.0,81.0,4.0,2.0,0.0,30.0,40.0,3,3374
0,01-10-08,36.4,27.5,22.8,92.0,82.0,5.0,3.0,0.0,20.0,25.0,3,3375
0,01-10-08,16.9,28.5,22.1,94.0,95.0,6.0,8.0,3.9,225.0,210.0,3,3376
0,01-10-08,53.4,29.0,23.0,100.0,94.0,4.0,8.0,0.0,225.0,150.0,3,3360
0,01-10-08,10.2,28.8,22.0,95.0,87.0,8.0,8.0,0.0,270.0,250.0,3,3358
0,01-10-08,5.3,30.0,21.9,98.3159,95.4815,8.0,0.0,0.0,202.0,225.0,3,3261
0,01-10-08,17.3,30.0,20.2,97.0,94.0,8.0,8.0,0.0,90.0,135.0,3,3348
0,01-10-08,34.0,30.6,21.0,98.0,97.0,8.0,8.0,2.5,270.0,270.0,3,3341
0,01-10-08,35.4,30.0,20.6,100.0,98.0,8.0,8.0,2.0,270.0,45.0,3,3342
0,01-10-08,11.3,30.4,21.0,100.0,95.0,8.0,8.0,0.0,225.0,225.0,3,3343
0,01-10-08,102.4,30.2,23.0,100.0,98.0,8.0,8.0,0.0,45.0,270.0,3,3344
0,01-10-08,107.2,30.0,21.0,100.0,97.0,8.0,8.0,0.0,135.0,135.0,3,3345
0,01-10-08,41.0,28.6,20.0,98.0,95.0,8.0,8.0,0.0,90.0,315.0,3,3346
0,01-10-08,34.8,30.5,21.7,100.0,95.0,8.0,8.0,0.0,45.0,315.0,3,3347
0,01-10-08,46.8,30.6,22.5,98.0,95.0,6.0,8.0,0.0,45.0,135.0,3,3349
0,01-10-08,40.7,29.2,22.4,97.0,93.0,8.0,6.0,0.0,280.0,250.0,3,3357
0,01-10-08,42.9,31.0,22.0,98.0,91.0,6.0,8.0,2.0,270.0,225.0,3,3350
0,01-10-08,51.7,28.0,18.4,97.0,98.0,8.0,8.0,0.0,190.0,300.0,3,3351
0,01-10-08,106.9,26.0,21.5,98.0,94.0,8.0,8.0,0.0,200.0,220.0,3,3352
0,01-10-08,4.0,30.4,18.7,92.0,84.0,5.0,3.0,7.0,200.0,290.0,3,3353
0,01-10-08,7.4,27.5,22.8,92.0,83.0,4.0,3.0,5.0,20.0,25.0,3,3354
0,01-10-08,23.3,27.0,21.0,89.0,79.0,8.0,2.0,6.0,35.0,25.0,3,3355
0,01-10-08,17.4,29.0,23.0,92.0,81.0,4.0,2.0,6.0,40.0,40.0,3,3356
0,01-10-08,25.2,29.0,23.0,92.0,81.0,4.0,8.0,0.0,40.0,40.0,3,3377
0,01-10-08,22.5,29.0,22.4,95.0,81.0,5.0,8.0,2.5,160.0,260.0,3,3378
0,01-10-08,17.9,29.5,21.8,96.0,77.0,8.0,8.0,2.0,210.0,280.0,3,3379
0,01-10-08,10.5,27.1,15.0,93.0,95.0,7.0,8.0,4.0,120.0,290.0,3,3407
0,01-10-08,62.6,29.8,22.4,97.0,84.0,8.0,7.0,2.3,130.0,260.0,3,3400
0,01-10-08,63.5,30.0,21.5,98.0,91.0,8.0,8.0,1.9,60.0,250.0,3,3401
0,01-10-08,126.0,25.8,20.6,100.0,100.0,8.0,8.0,0.0,230.0,180.0,3,3402
0,01-10-08,37.8,29.5,15.1,97.0,86.0,8.0,5.0,7.5,120.0,310.0,3,3403
0,01-10-08,31.9,28.3,15.0,97.0,90.0,8.0,7.0,0.1,290.0,240.0,3,3404
0,01-10-08,6.6,29.1,16.9,90.0,96.0,6.0,6.0,3.0,240.0,300.0,3,3405
0,01-10-08,32.0,28.1,15.2,94.0,88.0,8.0,7.0,1.2,310.0,250.0,3,3406
0,01-10-08,24.2,28.0,15.5,94.0,91.0,6.0,7.0,6.0,230.0,270.0,3,3408
0,01-10-08,23.2,29.4,22.5,96.0,91.0,8.0,6.0,1.4,160.0,270.0,3,3380
0,01-10-08,36.2,28.5,15.2,97.0,90.0,8.0,7.0,3.5,110.0,280.0,3,3409
0,01-10-08,14.0,30.0,15.5,96.0,91.0,8.0,5.0,6.5,80.0,290.0,3,3410
0,01-10-08,11.5,29.7,17.0,91.0,89.0,4.0,4.0,5.2,270.0,250.0,3,3411
0,01-10-08,52.5,28.2,22.0,100.0,91.0,8.0,8.0,0.3,250.0,230.0,3,3412
0,01-10-08,16.3,28.4,21.6,94.0,90.0,8.0,6.0,0.1,240.0,250.0,3,3413
0,01-10-08,23.4,29.2,21.6,94.0,86.0,8.0,8.0,5.0,150.0,280.0,3,3414
0,01-10-08,5.4,29.0,23.0,92.0,81.0,4.0,2.0,6.0,40.0,40.0,3,3415
0,01-10-08,18.0,30.2,22.8,98.0,80.0,6.0,7.0,1.1,160.0,230.0,3,3399
0,01-10-08,9.0,30.5,22.5,96.0,77.0,6.0,6.0,3.8,150.0,230.0,3,3398
0,01-10-08,50.0,29.6,22.4,96.0,83.0,8.0,6.0,0.0,250.0,260.0,3,3397
0,01-10-08,17.0,30.0,22.7,97.0,74.0,6.0,4.0,1.9,135.0,240.0,3,3396
0,01-10-08,41.4,29.2,21.8,92.0,78.0,8.0,5.0,3.4,290.0,310.0,3,3381
0,01-10-08,9.8,29.6,20.5,90.0,79.0,8.0,7.0,5.8,300.0,280.0,3,3382
0,01-10-08,11.0,27.5,22.8,92.0,83.0,4.0,3.0,5.0,20.0,25.0,3,3383
0,01-10-08,24.8,29.0,22.5,91.0,85.0,6.0,5.0,2.3,260.0,250.0,3,3384
0,01-10-08,22.2,30.5,24.0,91.0,82.0,6.0,4.0,6.0,35.0,25.0,3,3385
0,01-10-08,23.5,31.0,23.5,92.0,82.0,6.0,3.0,5.0,20.0,25.0,3,3386
0,01-10-08,7.8,28.1,16.0,90.0,94.0,8.0,8.0,4.5,200.0,270.0,3,3387
0,01-10-08,56.1,28.4,15.4,96.0,92.0,8.0,8.0,0.3,350.0,280.0,3,3388
0,01-10-08,33.7,30.1,16.1,95.0,85.0,5.0,6.0,6.3,140.0,240.0,3,3389
0,01-10-08,26.5,29.5,23.5,97.0,83.0,4.0,5.0,3.8,100.0,270.0,3,3390
0,01-10-08,47.0,30.8,23.0,97.0,89.0,8.0,6.0,5.3,30.0,210.0,3,3391
0,01-10-08,28.0,30.5,23.4,96.0,85.0,7.0,8.0,1.1,45.0,240.0,3,3392
0,01-10-08,43.1,29.8,22.8,97.0,83.0,8.0,5.0,0.8,120.0,230.0,3,3393
0,01-10-08,9.5,29.5,22.6,96.0,83.0,8.0,6.0,0.3,315.0,250.0,3,3394
0,01-10-08,47.9,30.6,23.0,94.0,75.0,5.0,6.0,3.3,60.0,280.0,3,3395
0,01-10-08,53.2,30.2,20.8,100.0,90.0,8.0,8.0,0.0,315.0,225.0,3,3340
0,01-10-08,11.2,30.0,22.0,99.0,94.0,8.0,8.0,3.4,270.0,315.0,3,3339
0,01-10-08,29.8,30.4,23.0,98.0,96.0,8.0,8.0,2.0,315.0,135.0,3,3338
0,01-10-08,10.7,30.4,21.5,96.0,74.0,8.0,5.0,3.5,70.0,300.0,3,3289
0,01-10-08,67.0,30.6,22.6,100.0,79.0,8.0,8.0,5.8,220.0,250.0,3,3282
0,01-10-08,8.1,30.0,22.0,100.0,79.0,8.0,8.0,1.0,220.0,240.0,3,3283
0,01-10-08,8.5,31.0,22.8,92.0,91.0,8.0,6.0,6.1,100.0,270.0,3,3284
0,01-10-08,54.2,30.4,21.8,97.0,84.0,8.0,8.0,1.4,130.0,270.0,3,3285
0,01-10-08,10.1,31.0,24.2,100.0,98.0,8.0,8.0,1.6,45.0,315.0,3,3286
0,01-10-08,23.7,30.5,22.2,98.0,73.0,8.0,8.0,5.4,70.0,280.0,3,3287
0,01-10-08,44.8,30.7,22.0,95.0,80.0,8.0,8.0,7.0,100.0,220.0,3,3288
0,01-10-08,7.6,31.0,22.0,95.0,78.0,8.0,8.0,6.2,100.0,290.0,3,3290
0,01-10-08,42.8,30.4,21.3,98.0,85.0,8.0,6.0,3.8,60.0,270.0,3,3299
0,01-10-08,5.3,30.5,22.3,95.0,76.0,8.0,8.0,1.9,340.0,315.0,3,3291
0,01-10-08,9.3,27.0,21.2,98.0,73.0,8.0,8.0,8.3,110.0,310.0,3,3292
0,01-10-08,22.4,31.5,20.5,96.5515,74.7894,6.0,2.0,0.0,45.0,225.0,3,3293
0,01-10-08,33.0,27.8,22.0,98.0,98.0,8.0,8.0,0.0,180.0,280.0,3,3294
0,01-10-08,52.0,29.3,20.6,98.0,82.0,8.0,8.0,0.0,150.0,210.0,3,3295
0,01-10-08,74.0,29.2,21.0,98.0,92.0,8.0,8.0,1.8,170.0,100.0,3,3296
0,01-10-08,41.0,26.5,21.6,98.0,100.0,8.0,8.0,0.0,140.0,120.0,3,3297
0,01-10-08,22.0,29.8,21.8,95.0,92.0,8.0,8.0,0.3,240.0,250.0,3,3281
0,01-10-08,20.1,30.0,22.5,96.0,94.0,8.0,8.0,2.5,220.0,270.0,3,3280
0,01-10-08,44.5,28.2,21.5,98.0,89.0,8.0,8.0,0.0,110.0,260.0,3,3279
0,01-10-08,31.0,28.0,21.7,97.0,97.0,8.0,8.0,0.0,220.0,300.0,3,3278
0,01-10-08,4.1,30.6,21.5,93.4855,84.803,2.0,8.0,0.0,247.0,225.0,3,3263
0,01-10-08,33.2,29.5,21.4,96.6142,96.7321,0.0,8.0,0.0,292.0,315.0,3,3264
0,01-10-08,50.6,32.2,21.4,96.5988,88.8737,8.0,0.0,0.0,225.0,225.0,3,3265
0,01-10-08,4.1,30.0,21.4,96.6295,96.76,6.0,0.0,0.0,2292.0,225.0,3,3266
0,01-10-08,25.2,31.0,21.4,95.0305,91.8522,4.0,8.0,0.0,225.0,315.0,3,3267
0,01-10-08,9.0,31.2,21.0,96.6446,85.5613,6.0,0.0,0.0,315.0,225.0,3,3268
0,01-10-08,6.5,31.7,20.4,96.6295,76.0998,2.0,4.0,0.0,270.0,225.0,3,3269
0,01-10-08,11.7,31.4,21.0,96.6295,85.5613,4.0,0.0,0.0,247.0,135.0,3,3270
0,01-10-08,145.6,30.6,20.2,98.2692,98.3455,8.0,8.0,0.0,90.0,45.0,3,3271
0,01-10-08,22.8,31.2,20.2,98.3084,82.8056,8.0,0.0,0.0,315.0,225.0,3,3272
0,01-10-08,25.0,31.0,21.2,98.3084,72.1988,8.0,0.0,0.0,225.0,225.0,3,3273
0,01-10-08,5.0,29.5,23.0,91.8522,82.4715,8.0,0.0,1.3,315.0,315.0,3,3274
0,01-10-08,15.8,30.6,23.0,95.0,95.0,8.0,8.0,2.4,90.0,45.0,3,3275
0,01-10-08,39.1,29.7,18.0,91.0,89.0,4.0,2.0,6.6,250.0,210.0,3,3276
0,01-10-08,16.2,29.2,22.0,98.0,83.0,8.0,8.0,0.0,120.0,310.0,3,3277
0,01-10-08,58.0,27.8,21.7,100.0,96.0,8.0,8.0,0.0,100.0,200.0,3,3298
0,01-10-08,76.0,30.0,21.0,97.0,82.0,8.0,8.0,2.0,100.0,220.0,3,3300
0,01-10-08,22.4,30.8,23.5,100.0,97.0,8.0,8.0,4.0,270.0,180.0,3,3337
0,01-10-08,31.0,30.4,24.2,98.0,95.0,2.0,8.0,0.0,45.0,270.0,3,3328
0,01-10-08,46.4,30.2,23.5,98.0,82.0,8.0,8.0,2.0,45.0,45.0,3,3321
0,01-10-08,16.1,29.5,23.0,97.0,80.0,8.0,8.0,3.4,67.0,135.0,3,3322
0,01-10-08,26.0,29.8,22.5,96.0,97.0,8.0,8.0,0.0,45.0,135.0,3,3323
0,01-10-08,44.9,30.0,23.0,98.0,97.0,8.0,8.0,2.0,45.0,270.0,3,3324
0,01-10-08,31.4,30.2,23.5,99.0,95.0,8.0,6.0,3.6,90.0,240.0,3,3325
0,01-10-08,9.0,30.6,23.2,95.0,91.0,6.0,6.0,4.5,180.0,225.0,3,3326
0,01-10-08,201.0,30.7,23.0,95.0,95.0,4.0,8.0,0.0,90.0,90.0,3,3327
0,01-10-08,18.6,30.0,23.8,98.0,96.0,8.0,8.0,2.0,90.0,135.0,3,3329
0,01-10-08,36.6,29.8,21.4,98.0,80.0,8.0,8.0,2.0,110.0,320.0,3,3301
0,01-10-08,12.5,30.5,21.5,91.8522,85.1063,8.0,8.0,0.0,225.0,225.0,3,3330
0,01-10-08,18.6,30.5,23.2,98.0,92.0,8.0,8.0,1.0,270.0,270.0,3,3331
0,01-10-08,69.2,31.4,24.2,97.0,86.0,6.0,8.0,3.0,90.0,270.0,3,3332
0,01-10-08,22.8,30.8,23.0,95.0,88.0,8.0,8.0,0.0,45.0,45.0,3,3333
0,01-10-08,8.4,29.4,23.2,97.0,95.0,8.0,8.0,4.2,45.0,90.0,3,3334
0,01-10-08,11.0,29.8,21.8,97.0,90.0,8.0,8.0,2.0,110.0,135.0,3,3335
0,01-10-08,48.4,29.0,21.5,98.3455,89.7758,8.0,0.0,0.0,225.0,225.0,3,3336
0,01-10-08,23.3,30.0,24.0,98.0,88.0,8.0,8.0,0.0,180.0,270.0,3,3320
0,01-10-08,42.0,31.5,24.2,98.0,95.0,8.0,8.0,3.4,67.0,135.0,3,3319
0,01-10-08,13.4,31.0,24.0,97.0,94.0,8.0,8.0,2.0,120.0,315.0,3,3318
0,01-10-08,10.1,30.6,23.5,97.0,94.0,8.0,8.0,4.0,315.0,225.0,3,3317
0,01-10-08,6.8,30.0,22.1,98.0,78.0,8.0,8.0,4.3,70.0,280.0,3,3302
0,01-10-08,25.0,29.2,22.5,94.0,89.0,8.0,8.0,0.4,130.0,200.0,3,3303
0,01-10-08,31.6,29.0,22.0,100.0,82.0,8.0,8.0,1.0,90.0,230.0,3,3304
0,01-10-08,53.6,29.8,21.6,98.0,100.0,8.0,8.0,0.2,100.0,170.0,3,3305
0,01-10-08,68.5,26.0,21.0,98.0,99.0,8.0,8.0,0.0,150.0,180.0,3,3306
0,01-10-08,77.0,30.2,20.5,92.0,87.0,8.0,8.0,7.8,140.0,240.0,3,3307
0,01-10-08,28.0,30.5,20.7,97.0,81.0,8.0,8.0,4.7,150.0,230.0,3,3308
0,01-10-08,21.7,30.0,20.0,100.0,81.0,8.0,8.0,6.3,100.0,81.0,3,3309
0,01-10-08,25.0,31.0,22.0,98.0,72.0,8.0,5.0,6.0,160.0,260.0,3,3310
0,01-10-08,78.7,27.5,21.2,100.0,83.0,8.0,8.0,0.2,220.0,290.0,3,3311
0,01-10-08,32.8,28.6,22.0,98.0,95.0,8.0,8.0,0.2,110.0,220.0,3,3312
0,01-10-08,88.2,31.0,21.0,96.7321,80.9334,8.0,8.0,0.0,247.0,315.0,3,3313
0,01-10-08,11.9,31.2,21.6,91.8522,89.3698,8.0,8.0,0.0,292.0,314.0,3,3314
0,01-10-08,36.0,30.0,23.0,98.0,94.0,8.0,8.0,2.0,135.0,225.0,3,3315
0,01-10-08,10.8,31.0,24.0,96.0,90.0,8.0,8.0,3.4,90.0,270.0,3,3316
0,01-10-08,4.7,29.6,22.4,94.0,78.0,8.0,7.0,6.5,220.0,270.0,3,3416
0,01-10-08,22.0,28.0,19.0,100.0,99.0,4.0,4.0,0.0,45.0,180.0,3,3417
0,01-10-08,54.0,31.0,22.0,98.0,94.0,8.0,8.0,2.0,45.0,135.0,3,3418
0,01-10-08,5.0,29.5,23.0,91.8522,82.4715,8.0,0.0,1.3,315.0,315.0,3,3524
0,01-10-08,25.2,31.0,21.4,95.0305,91.8522,4.0,8.0,0.0,225.0,315.0,3,3517
0,01-10-08,9.0,31.2,21.0,96.6446,85.5613,6.0,0.0,0.0,315.0,225.0,3,3518
0,01-10-08,6.5,31.7,20.4,96.6295,76.0998,2.0,4.0,0.0,270.0,225.0,3,3519
0,01-10-08,11.7,31.4,21.0,96.6295,85.5613,4.0,0.0,0.0,247.0,135.0,3,3520
0,01-10-08,145.6,30.6,20.2,98.2692,98.3455,8.0,8.0,0.0,90.0,45.0,3,3521
0,01-10-08,22.8,31.2,20.2,98.3084,82.8056,8.0,0.0,0.0,315.0,225.0,3,3522
0,01-10-08,25.0,31.0,21.2,98.3084,72.1988,8.0,0.0,0.0,225.0,225.0,3,3523
0,01-10-08,15.8,30.6,23.0,95.0,95.0,8.0,8.0,2.4,90.0,45.0,3,3525
0,01-10-08,8.5,31.0,22.8,92.0,91.0,8.0,6.0,6.1,100.0,270.0,3,3534
0,01-10-08,39.1,29.7,18.0,91.0,89.0,4.0,2.0,6.6,250.0,210.0,3,3526
0,01-10-08,16.2,29.2,22.0,98.0,83.0,8.0,8.0,0.0,120.0,310.0,3,3527
0,01-10-08,31.0,28.0,21.7,97.0,97.0,8.0,8.0,0.0,220.0,300.0,3,3528
0,01-10-08,44.5,28.2,21.5,98.0,89.0,8.0,8.0,0.0,110.0,260.0,3,3529
0,01-10-08,20.1,30.0,22.5,96.0,94.0,8.0,8.0,2.5,220.0,270.0,3,3530
0,01-10-08,22.0,29.8,21.8,95.0,92.0,8.0,8.0,0.3,240.0,250.0,3,3531
0,01-10-08,67.0,30.6,22.6,100.0,79.0,8.0,8.0,5.8,220.0,250.0,3,3532
0,01-10-08,4.1,30.0,21.4,96.6295,96.76,6.0,0.0,0.0,2292.0,225.0,3,3516
0,01-10-08,50.6,32.2,21.4,96.5988,88.8737,8.0,0.0,0.0,225.0,225.0,3,3515
0,01-10-08,33.2,29.5,21.4,96.6142,96.7321,0.0,8.0,0.0,292.0,315.0,3,3514
0,01-10-08,4.1,30.6,21.5,93.4855,84.803,2.0,8.0,0.0,247.0,225.0,3,3513
0,01-10-08,49.0,28.5,18.8,93.0,81.0,8.0,8.0,0.0,330.0,230.0,3,3498
0,01-10-08,32.6,29.8,19.4,95.0,91.0,8.0,8.0,3.5,350.0,250.0,3,3499
0,01-10-08,24.7,29.0,18.5,94.0,94.0,8.0,8.0,3.5,130.0,200.0,3,3500
0,01-10-08,33.3,29.8,19.5,89.0,94.0,6.0,8.0,3.8,110.0,210.0,3,3501
0,01-10-08,63.1,29.0,18.0,93.0,92.0,8.0,8.0,0.0,230.0,240.0,3,3502
0,01-10-08,122.8,28.2,17.0,100.0,100.0,8.0,8.0,0.0,220.0,340.0,3,3503
0,01-10-08,45.9,27.0,17.6,100.0,96.0,8.0,8.0,0.0,180.0,220.0,3,3504
0,01-10-08,21.8,29.5,20.6,91.0,94.0,8.0,8.0,1.4,330.0,240.0,3,3505
0,01-10-08,32.7,31.0,19.0,96.0,80.0,8.0,4.0,4.0,210.0,250.0,3,3506
0,01-10-08,78.3,28.4,21.2,95.0,94.0,0.0,8.0,0.0,90.0,270.0,3,3507
0,01-10-08,30.8,30.5,21.0,96.5832,80.5466,0.0,0.0,0.0,315.0,315.0,3,3508
0,01-10-08,62.5,29.0,22.5,97.0,94.0,0.0,8.0,0.0,90.0,225.0,3,3509
0,01-10-08,31.2,30.5,21.5,96.6596,98.5051,8.0,0.0,0.0,247.0,225.0,3,3510
0,01-10-08,5.3,30.0,21.9,98.3159,95.4815,8.0,0.0,0.0,202.0,225.0,3,3511
0,01-10-08,16.2,30.6,23.1,94.0,89.0,0.0,8.0,4.5,135.0,292.0,3,3512
0,01-10-08,8.1,30.0,22.0,100.0,79.0,8.0,8.0,1.0,220.0,240.0,3,3533
0,01-10-08,54.2,30.4,21.8,97.0,84.0,8.0,8.0,1.4,130.0,270.0,3,3535
0,01-10-08,56.3,30.6,19.0,95.0,86.0,8.0,6.0,2.0,200.0,270.0,3,3496
