Date,RF,MaxT,MinT,RH-I,RH-II,C1,C2,SS,WD1,WD2,Disease
01-06-00,63,36,23.5,91.6687,92.0262,6,8,0,90,270,0
02-06-00,87.2,36,24,95.8872,84.9868,8,6,0,90,270,0
03-06-00,78,32,23,100,96.0582,4,6,0,90,270,0
04-06-00,27,32,22.5,92.0262,96.1755,6,6,0,90,225,0
05-06-00,24.2,32.5,22,100,96.0582,8,6,0,45,225,0
06-06-00,1.5,32,22,100,96.0171,6,6,0,0,225,0
07-06-00,6.8,32.5,23,92.3486,96.1374,6,6,0,90,225,0
08-06-00,4.4,32.5,24,96.1374,96.2127,6,8,0,90,270,0
09-06-00,47.5,32,24,95.9316,96.1755,6,6,0,90,225,0
10-06-00,156.4,32,24,100,100,8,6,0,90,225,0
11-06-00,35,32,23,100,96.0171,6,8,0,45,225,0
12-06-00,7.4,32,24,95.9749,96.1755,8,8,0,90,270,0
13-06-00,5.2,31.5,23,95.9316,95.9316,8,8,0,45,225,0
14-06-00,1,30.5,25,98.3527,88.5168,8,8,0,135,225,0
15-06-00,15.2,30.5,22,96.1755,88.9619,6,6,0,45,225,0
16-06-00,32,31,21,96.249,92.7091,8,8,0,90,225,0
17-06-00,20.6,31,23,85.4229,96.3191,8,8,0,45,225,0
18-06-00,65.2,31.5,23,96.0171,96.2845,8,6,0,90,225,0
19-06-00,57.2,31,21,95.8417,100,8,8,0,45,225,0
20-06-00,111.4,30,23,98.3159,95.9316,8,8,0,45,270,0
21-06-00,63,31,23,98.3455,96.1755,8,8,0,90,225,0
22-06-00,16.6,31,24,96.0983,96.249,8,8,0,90,225,0
23-06-00,43.2,30.5,24,98.446,96.2845,6,6,0,90,225,0
24-06-00,5.8,31.5,24.5,98.4334,100,8,8,0,90,270,0
25-06-00,109.8,30.5,25,92.8704,92.4981,8,8,0,90,270,0
26-06-00,30,30.5,22,100,96.0983,8,8,0,90,225,0
27-06-00,130.4,30.2,22.5,95.9749,98.4142,6,6,0,90,225,1
28-06-00,137.6,39,21,98.293,98.3382,8,8,0,45,225,1
29-06-00,71.8,29,21,98.3382,95.3737,8,6,0,45,225,1
30-06-00,43.4,28.5,22,100,96.4691,6,8,0,45,225,1
01-07-00,30.6,30,23,95.4284,98.4937,8,8,0,135,225,1
02-07-00,30,30.5,23,98.4142,94.1338,8,6,0,135,225,1
03-07-00,17,31,25,98.3527,96.8405,8,8,0,90,135,1
04-07-00,6.6,29.5,24,98.3382,98.3382,8,6,0,90,135,1
05-07-00,17.6,29.5,23,100,98.3382,6,6,0,135,225,1
06-07-00,3.2,28.5,24,95.0305,96.6744,8,8,0,135,270,1
07-07-00,17.8,27.5,21,100,100,8,8,0,90,225,1
08-07-00,12.2,27.5,24,98.2772,98.2611,8,8,0,90,225,1
09-07-00,13.4,27.5,24,98.2611,98.3455,8,8,0,135,135,1
10-07-00,3.4,27.5,22,98.3455,98.3007,8,8,0,135,135,1
11-07-00,1.4,27,24.5,98.3598,100,8,8,0,90,225,1
12-07-00,2,27.5,23,98.3943,98.4271,8,8,0,135,225,1
13-07-00,0,28.5,23,92.0933,96.8662,8,8,0,90,225,1
14-07-00,0,28.5,22,98.3943,98.4271,8,8,0,135,270,1
15-07-00,15.6,29,24,96.8915,98.4763,8,8,0,135,135,1
16-07-00,15,30,21.5,98.4334,95.55,8,8,0,135,135,1
17-07-00,34.4,30,22,98.4271,96.9525,8,8,0,135,270,1
18-07-00,8,30,22,90.9972,95.5161,8,8,0,90,135,1
19-07-00,0,30,21.5,96.9405,95.6025,8,8,0,135,270,1
20-07-00,2.8,29.5,21,92.3486,86,8,8,0,90,270,1
21-07-00,0,30,22,98.4142,95.5331,8,8,0,135,225,1
22-07-00,0,30.5,21.5,98.3527,96.9991,8,8,0,90,225,1
23-07-00,22.4,30.5,23,95.3737,95.5161,8,8,0,225,225,1
24-07-00,0,30.5,24.5,95.3737,92.6405,8,8,0,90,225,1
25-07-00,1,30,24,92.3486,96.9876,8,8,0,225,225,0
26-07-00,0,30.5,24,96.8789,94.0445,8,8,0,225,225,0
27-07-00,18.4,30,23,96.6446,93.8306,8,8,0,225,225,0
28-07-00,57.2,30,22,95.0741,94.0672,8,8,0,225,225,1
29-07-00,53.4,30,22.5,96.9039,95.2789,8,8,0,225,225,1
30-07-00,70.8,30,23,98.4142,95.55,8,6,0,135,225,1
31-07-00,1,31,22,96.8789,97.0218,8,8,0,135,225,1
01-08-00,0,31,22,95.3737,94.0672,8,8,0,135,225,1
02-08-00,17.2,31,22.5,96.9039,97.0218,8,8,0,135,225,1
03-08-00,40,31,25,96.2127,88.575,8,8,0,135,225,1
04-08-00,43.2,31,22.5,94,97.0105,8,8,0,135,225,1
05-08-00,52.7,31,22,98.4206,95.55,6,6,0,135,225,1
06-08-00,36,30.9,23,90.5081,95.4284,6,6,0,135,225,1
07-08-00,14.8,29,23,96.7321,98.4142,6,6,0,225,225,1
08-08-00,11.4,31,25,93.5966,99.1818,6,8,0,225,45,1
09-08-00,6.4,29,25,95.7468,98.3084,8,8,0,135,45,1
10-08-00,96.4,26,23,98.2772,95.6928,8,8,0,270,225,1
11-08-00,126.8,29.5,20.5,100.4973,93.9753,8,8,0,135,135,1
12-08-00,31,30,22,98.4397,99.2366,8,8,0,135,135,1
13-08-00,13.8,28.5,22,96.6295,95.4284,8,8,0,225,45,1
14-08-00,10.6,30.5,22.5,96.8662,92.4981,8,8,0,135,45,1
15-08-00,35.5,31,23,95.1791,97.044,8,8,0,45,45,1
16-08-00,8.8,31,24,95.2789,95.464,8,8,0,135,45,1
17-08-00,17.2,29,22.5,98.069,83.8076,8,8,0,135,135,1
18-08-00,0,29,23.5,88.4757,88.3984,8,8,0,225,45,1
19-08-00,0.6,29,24,95,87,8,8,0,135,225,1
20-08-00,77.4,28,23.5,98.3527,96.7321,8,8,0,225,45,1
21-08-00,3,28.5,23,98.4142,93.8306,8,6,0,225,225,1
22-08-00,8.4,28.5,21,98.3084,98.4142,6,4,0,135,225,1
23-08-00,0,26,23,98.3807,98.3382,4,3,0,135,135,1
24-08-00,0,25,22,96.5832,98.3084,4,2,0,45,135,1
25-08-00,0,25,22,98.3084,95,8,4,0,45,225,1
26-08-00,1,27.5,22,98.5928,98.4142,8,4,0,45,135,1
27-08-00,20.7,29,23.5,98.4206,96.9405,8,6,0,45,225,1
28-08-00,9.6,29,24,98.3382,98.401,8,6,0,135,225,1
29-08-00,11.2,28,24.5,96.7179,96.8789,7,5,0,45,135,1
30-08-00,0,29,25,98.2772,93.9753,8,5,0,135,225,1
31-08-00,0,29,22,95.2789,96.9405,8,7,0,45,135,1
01-09-00,0,29.5,22,96.7461,96.9876,6,6,0,45,135,1
